rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
4555,Arnhem-Ede-Wageningen,"Arnhem Centraal - Utrecht Centraal",133,,,"boom op het spoor","tree on the track","boom op het spoor","tree on the track",external,"2012-09-24 15:55:02","2012-09-24 20:18:01",217
4556,Arnhem-Winterswijk,"Arnhem Centraal - Winterswijk",82,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-09-24 16:04:01","2012-09-24 19:32:02",196
4557,"Enkhuizen-Amsterdam C/Schiphol","Amsterdam Centraal - Hoorn",164,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-09-24 16:26:01","2012-09-24 17:37:02",42
4558,Roermond-Eindhoven,"Eindhoven - Roermond",67,,,"boom op het spoor","tree on the track","boom op het spoor","tree on the track",external,"2012-09-24 16:28:02","2012-09-24 18:23:01",93
4559,Heerlen-Sittard,"Heerlen - Sittard",77,,,"voorwerp in de bovenleiding","an object in the overhead wires","voorwerp in de bovenleiding","an object in the overhead wires",external,"2012-09-24 17:02:01","2012-09-24 18:17:01",71
4560,"Rhenen-Utrecht Centraal","Rhenen - Utrecht Centraal",166,,,"boom op het spoor","tree on the track","boom op het spoor","tree on the track",external,"2012-09-24 17:20:01","2012-09-24 21:35:01",174
4561,"Enschede-Gronau (Westf)","Dortmund Hbf - Enschede, Enschede - Gronau (Westf.), Enschede - Münster (Westf.) Hbf","93,126,127",,,"boom op het spoor","tree on the track","boom op het spoor","tree on the track",external,"2012-09-24 17:31:03","2012-09-24 18:37:01",46
4562,Leeuwarden-Zwolle,"Leeuwarden - Zwolle",160,,,"boom op het spoor","tree on the track","boom op het spoor","tree on the track",external,"2012-09-24 18:27:02","2012-09-24 20:59:02",130
4563,Nijmegen-Venlo,"Nijmegen - Venlo",64,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-09-25 07:06:02","2012-09-25 10:02:01",164
4564,Ede-Wageningen-Amersfoort,"Amersfoort - Ede-Wageningen",47,,,"defecte treinen","defective trains","defecte treinen","defective trains","rolling stock","2012-09-25 11:17:01","2012-09-25 20:53:01",566
