rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
12919,"Amsterdam C.-Breda",,,,,"eerdere verstoring","an earlier disruption","eerdere verstoring","an earlier disruption",logistical,"2016-01-01 11:59:01","2016-01-01 16:05:01",245
12920,Groningen-Roodeschool,"Groningen - Eemshaven",158,,,stroomstoring,"power failure",stroomstoring,"power failure",infrastructure,"2016-01-01 14:54:01","2016-01-01 17:01:01",101
12921,"Lelystad C.-Zwolle","Lelystad Centrum - Zwolle",131,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2016-01-01 16:42:02","2016-01-01 19:30:02",146
12922,"Amsterdam C.-Breda",,,,,"gestrande trein","stranded train","gestrande trein","stranded train","rolling stock","2016-01-01 18:09:01","2016-01-01 21:17:04",138
12923,"Utrecht C.-Schiphol Airport","Schiphol Airport - Utrecht Centraal",137,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2016-01-01 20:19:01","2016-01-01 21:13:01",54
12924,"Utrecht C.-Amsterdam C./Schiphol Airport","Amsterdam Centraal - Utrecht Centraal, Schiphol Airport - Utrecht Centraal","136,137",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2016-01-01 21:13:02","2016-01-01 23:33:01",120
12925,Eindhoven-'s-Hertogenbosch/Tilburg,"'s-Hertogenbosch - Eindhoven, Eindhoven - Tilburg","152,153",,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2016-01-02 01:05:02","2016-01-02 02:40:01",95
12926,"Rotterdam C.-Gouda","Rotterdam Centraal - Utrecht Centraal",142,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2016-01-02 16:45:01","2016-01-02 18:01:02",61
12927,"Amsterdam C.-Breda",,,,,"defecte bovenleiding","damaged overhead wires","defecte bovenleiding","damaged overhead wires",infrastructure,"2016-01-03 05:39:01","2016-01-03 18:42:01",753
12928,Tilburg-Eindhoven,"Eindhoven - Tilburg",152,,,aanrijding,collision,aanrijding,collision,accidents,"2016-01-03 08:09:01","2016-01-03 09:07:01",50
12929,Groningen,"Delfzijl - Groningen, Groningen - Bad Nieuweschans, Groningen - Eemshaven, Groningen - Leer (Ostfriesland), Groningen - Leeuwarden, Groningen - Veendam","102,154,155,156,157,158",,,stroomstoring,"power failure",stroomstoring,"power failure",infrastructure,"2016-01-03 17:47:02","2016-01-03 20:41:02",138
12930,Groningen-Assen,"Groningen - Zwolle",146,,,stroomstoring,"power failure",stroomstoring,"power failure",infrastructure,"2016-01-03 18:38:01","2016-01-03 20:41:02",87
12931,"Den Haag C.-Gouda","Den Haag Centraal - Utrecht Centraal",143,,,"inzet van hulpdiensten","an emergency call","inzet van hulpdiensten","an emergency call",external,"2016-01-03 19:07:02","2016-01-03 20:02:02",39
12932,Zwolle-Leeuwarden,"Leeuwarden - Zwolle",160,,,"inzet van hulpdiensten","an emergency call","inzet van hulpdiensten","an emergency call",external,"2016-01-03 20:35:01","2016-01-03 21:31:01",22
12933,Groningen-Leeuwarden,"Groningen - Leeuwarden",102,,,overwegstoring,"level crossing failure",overwegstoring,"level crossing failure",infrastructure,"2016-01-04 06:32:01","2016-01-04 10:31:02",213
12934,Helmond-Eindhoven,"Eindhoven - Venlo",65,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2016-01-04 08:46:01","2016-01-04 11:30:02",163
12935,"Utrecht C.-Amersfoort/Baarn","Amersfoort - Utrecht Centraal, Baarn - Utrecht Centraal","44,134",,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2016-01-04 08:56:01","2016-01-04 11:00:01",93
12936,"Utrecht C.-Ede-Wageningen/Rhenen","Arnhem Centraal - Utrecht Centraal, Rhenen - Utrecht Centraal","133,166",,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2016-01-04 10:19:01","2016-01-04 13:05:02",146
12937,"Schiphol Airport-Hilversum","Amersfoort - Schiphol Airport",148,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2016-01-04 10:58:02","2016-01-04 15:01:02",211
12938,"Utrecht C.-Amersfoort/Baarn","Amersfoort - Utrecht Centraal, Baarn - Utrecht Centraal","44,134",,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2016-01-04 12:09:02","2016-01-04 13:08:01",59
12939,"Utrecht C.-Amersfoort/Baarn","Amersfoort - Utrecht Centraal, Baarn - Utrecht Centraal","44,134",,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2016-01-04 13:08:02","2016-01-04 15:48:01",119
