rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
5171,Vlissingen-Roosendaal,"Roosendaal - Vlissingen",21,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2013-01-01 07:39:01","2013-01-01 11:19:01",202
5172,Alkmaar-Haarlem/Zaandam,"Alkmaar - Amsterdam Centraal, Haarlem - Uitgeest","111,161",,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2013-01-02 09:52:01","2013-01-02 09:54:02",2
5173,Alkmaar-Haarlem/Zaandam,"Alkmaar - Amsterdam Centraal, Haarlem - Uitgeest","111,161",,,"inzet van de politie","police action","inzet van de politie","police action",external,"2013-01-02 10:06:01","2013-01-02 11:09:01",10
5174,"Utrecht Centraal-Schiphol","Amsterdam Centraal - Utrecht Centraal, Amsterdam Centraal - Woerden, Schiphol Airport - Utrecht Centraal","136,137,141",,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2013-01-02 14:01:00","2013-01-02 21:21:01",422
5175,Eindhoven-Venlo,"Eindhoven - Venlo",65,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2013-01-02 17:17:01","2013-01-02 20:27:01",163
5176,Venlo-Nijmegen,"Nijmegen - Venlo",64,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2013-01-02 17:25:01","2013-01-02 21:21:02",210
5177,'s-Hertogenbosch-Eindhoven,"'s-Hertogenbosch - Eindhoven",153,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2013-01-02 19:08:01","2013-01-02 22:52:01",197
5178,Zaandam-Enkhuizen,"Amsterdam Centraal - Hoorn",164,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2013-01-02 19:50:01","2013-01-02 22:52:02",155
5179,Venlo-Roermond,"Roermond - Venlo",66,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2013-01-03 06:04:01","2013-01-03 07:12:01",47
5180,"Schiphol-Leiden Centraal","Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport","22,32",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2013-01-03 07:04:01","2013-01-03 08:39:01",81
5181,Breda-Schiphol,"Amsterdam Centraal - Schiphol Airport, Breda - Rotterdam Centraal (HSL), Rotterdam Centraal - Schiphol Airport (HSL)","15,24,32",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2013-01-03 07:12:02","2013-01-03 09:05:01",73
5182,"Amsterdam C-Leiden Centraal/Rotterdam C","Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport","22,32",,,herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2013-01-03 10:50:01","2013-01-03 12:12:01",82
5183,Zaandam-Enkhuizen,"Amsterdam Centraal - Hoorn",164,,,"inzet van de politie","police action","inzet van de politie","police action",external,"2013-01-03 10:52:01","2013-01-03 13:03:01",103
5184,"Amsterdam C-Schiphol","Amsterdam Centraal - Schiphol Airport",32,,,herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2013-01-03 10:54:01","2013-01-03 12:12:02",78
5185,"Utrecht Centraal-Ede-Wageningen","Arnhem Centraal - Utrecht Centraal",133,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2013-01-03 13:16:01","2013-01-03 16:06:01",106
5186,Roermond-Eindhoven,"Eindhoven - Roermond",67,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2013-01-03 15:38:02","2013-01-03 18:40:01",151
5187,"Dordrecht-Rotterdam C","Dordrecht - Rotterdam Centraal",16,,,"inzet van de politie","police action","inzet van de politie","police action",external,"2013-01-04 18:38:01","2013-01-04 20:34:01",89
5188,"Rotterdam C-Den Haag C","Den Haag HS - Rotterdam Centraal",11,,,"inzet van de politie","police action","inzet van de politie","police action",external,"2013-01-04 22:02:01","2013-01-04 22:20:01",8
5189,"Momenteel geen Storingen-informatie",,,,,,,,,unknown,"2013-01-05 08:47:01","2013-01-05 08:51:01",4
5190,Haarlem-Sloterdijk,"Amsterdam Centraal - Haarlem",112,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2013-01-05 08:49:01","2013-01-05 09:19:01",8
5191,"Rotterdam C-Antwerpen-Centr","Brussel-Zuid/Midi - Rotterdam Centraal (HSL), Paris-Nord - Rotterdam Centraal (HSL)","123,167",,,"gestrande trein","stranded train","gestrande trein","stranded train","rolling stock","2013-01-05 08:57:02","2013-01-05 10:25:01",86
