X,Y,OBJECTID,HECTOMETER,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,ROTATIE
6.08967951056534,52.5071636471813,4756768,"2,6",603,a,603,603_a,Zwolle,29.55028095
6.10481139694863,52.5015407460182,4756769,"3,8",603,a,603,603_a,Zwolle,31.58576304
6.0828637487518,52.5075202773606,4756770,"2,2",603,a,603,603_a,Zwolle,-13.62567131
6.07350852854932,52.4930514583622,4756771,"0,5",926,,926,926__,Zwolle Rangeerterrein,121.55681244
6.0745063940086,52.4938665890393,4756772,"0,6",926,,926,926__,Zwolle Rangeerterrein,116.7962471
6.07861141301188,52.5009286636321,4756773,"1,4",926,,926,926__,Zwolle Rangeerterrein,104.30022568
6.09984387588993,52.5034590921154,4756774,"3,4",603,a,603,603_a,Zwolle,31.92491019
6.09347959779252,52.5057829504576,4756775,"2,9",603,a,603,603_a,Zwolle,29.66321322
6.10229296069189,52.5024675653918,4756776,"3,6",603,a,603,603_a,Zwolle,31.75520322
6.09223860720344,52.5062715492566,4756777,"2,8",603,a,603,603_a,Zwolle,29.58281463
6.09096373462697,52.5067282951669,4756778,"2,7",603,a,603,603_a,Zwolle,29.48145741
6.10355533309994,52.5020084979182,4756779,"3,7",603,a,603,603_a,Zwolle,31.72477297
6.08121861578773,52.5072215787991,4756780,"2,1",603,a,603,603_a,Zwolle,-26.6896859
6.07746281539767,52.4983288593154,4756781,"1,1",926,,926,926__,Zwolle Rangeerterrein,104.30022568
6.07134263715518,52.4915674926003,4756782,"0,3",926,,926,926__,Zwolle Rangeerterrein,124.35182408
6.31016325999235,52.3808703791823,4756783,"20,6",206,,206,206__,Zwolle - Wierden,9.59203964
6.26860004760024,52.3984564930851,4756784,17,206,,206,206__,Zwolle - Wierden,45.26231334
6.53266153526948,52.3622823127466,4756785,"35,9",206,,206,206__,Zwolle - Wierden,0.37513614
6.35215155604651,52.3762715211917,4756786,"23,5",206,,206,206__,Zwolle - Wierden,9.26028452
6.13642809852712,52.4817028550069,4756787,"4,1",206,,206,206__,Zwolle - Wierden,45.12697333
6.44220673743024,52.3683233231319,4756788,"29,7",206,,206,206__,Zwolle - Wierden,5.74910803
6.21028841647693,52.4353025911712,4756789,"11,3",206,,206,206__,Zwolle - Wierden,45.2491235
6.41444146671416,52.3701835434546,4756790,"27,8",206,,206,206__,Zwolle - Wierden,5.55821907
6.55321123071427,52.3619935010563,4756791,"37,3",206,,206,206__,Zwolle - Wierden,0.02406932
6.42323001872181,52.3696381193132,4756792,"28,4",206,,206,206__,Zwolle - Wierden,5.68152815
6.24305885487675,52.4146222266997,4756793,"14,5",206,,206,206__,Zwolle - Wierden,45.38504968
6.4290746985473,52.3692348439418,4756794,"28,8",206,,206,206__,Zwolle - Wierden,5.74524492
6.57083612831854,52.3617339732294,4756795,"38,5",206,,206,206__,Zwolle - Wierden,0.45038222
6.46118991453594,52.3669424553421,4756796,31,206,,206,206__,Zwolle - Wierden,6.64894892
