rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
7485,Zwolle-Assen/Leeuwarden,"Groningen - Zwolle, Leeuwarden - Zwolle","146,160",,,"sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2014-01-01 12:57:02","2014-01-01 17:11:02",253
7486,Zwolle-Assen/Leeuwarden,"Groningen - Zwolle, Leeuwarden - Zwolle","146,160",,,"sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2014-01-02 07:38:02","2014-01-02 10:34:01",144
7487,Dordrecht-Roosendaal,"Dordrecht - Roosendaal",171,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2014-01-02 08:05:02","2014-01-02 10:36:01",150
7488,"Amsterdam C.-Gouda/Utrecht C.",,,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2014-01-02 08:58:01","2014-01-02 10:02:02",36
7489,"Rotterdam C.-Hoek v H. Strand","Hoek van Holland Strand - Rotterdam Centraal",9,,,"defecte spoorbrug","damaged railway bridge","defecte spoorbrug","damaged railway bridge",infrastructure,"2014-01-02 10:58:01","2014-01-02 20:09:02",551
7490,Arnhem-Zutphen,"Arnhem Centraal - Zutphen",132,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2014-01-02 13:17:02","2014-01-02 14:38:01",66
7491,"Amsterdam C.-Haarlem",,,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2014-01-02 16:31:01","2014-01-03 01:44:01",553
7492,Eindhoven-'s-Hertogenbosch/Tilburg,"'s-Hertogenbosch - Eindhoven, Eindhoven - Tilburg","152,153",,,versperring,"an obstruction on the line",versperring,"an obstruction on the line",unknown,"2014-01-02 19:46:02","2014-01-02 21:04:01",34
7493,Roosendaal-Breda,"Breda - Roosendaal",20,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2014-01-02 22:14:01","2014-01-03 01:05:02",101
7494,Alkmaar-Zaandam,"Alkmaar - Amsterdam Centraal",161,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2014-01-02 22:49:02","2014-01-03 01:05:02",132
