rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
9972,Almelo-Hengelo,"Almelo - Hengelo",89,,,"defecte bovenleiding","damaged overhead wires","defecte bovenleiding","damaged overhead wires",infrastructure,"2015-01-01 09:33:01","2015-01-01 13:19:01",188
9973,"Schiphol-Almere C./Hilversum/Utrecht C.","Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Schiphol Airport - Utrecht Centraal","137,144,148",,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2015-01-01 09:40:01","2015-01-01 10:19:01",14
9974,"Arnhem-Duisburg Hbf/Winterswijk","Arnhem Centraal - Frankfurt (M) Hbf, Arnhem Centraal - Winterswijk","82,129",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2015-01-01 14:56:01","2015-01-01 16:26:01",73
9975,"Rotterdam C.-Hoek v H. Strand","Hoek van Holland Strand - Rotterdam Centraal",9,,,"gladde sporen","slippery railway tracks","gladde sporen","slippery railway tracks",weather,"2015-01-02 06:00:01","2015-01-02 08:38:02",141
9976,"Herstelwerkzaamheden Utrecht Centraal-Den Bosch
 
",,,,,herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2015-01-02 17:54:01","2015-01-03 03:02:01",548
9977,"Rotterdam C.-Den Haag C.","Den Haag Centraal - Den Haag HS, Den Haag HS - Rotterdam Centraal","10,11",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2015-01-02 19:07:01","2015-01-02 20:47:01",88
9978,Roosendaal-Vlissingen,"Roosendaal - Vlissingen",21,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2015-01-02 20:30:01","2015-01-03 00:36:01",246
9979,"Utrecht C.-'s-Hertogenbosch","'s-Hertogenbosch - Utrecht Centraal",151,,,herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2015-01-03 03:22:02","2015-01-03 06:21:02",162
9980,"Gouda-Den Haag C.","Den Haag Centraal - Utrecht Centraal",143,,,"beschadigde overweg","damaged level crossing","beschadigde overweg","damaged level crossing",accidents,"2015-01-03 08:05:01","2015-01-03 09:03:01",25
9981,Zwolle-Assen/Leeuwarden,"Groningen - Zwolle, Leeuwarden - Zwolle","146,160",,,aanrijding,collision,aanrijding,collision,accidents,"2015-01-03 11:22:01","2015-01-03 12:32:01",46
9982,"Amsterdam C./Schiphol-Almere C./Hilversum","Amersfoort - Amsterdam Centraal, Amersfoort - Schiphol Airport, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport","135,144,145,148",,,"gestrande trein","stranded train","gestrande trein","stranded train","rolling stock","2015-01-04 00:05:01","2015-01-04 00:43:01",21
9983,Nijmegen-Venlo,"Nijmegen - Venlo",64,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2015-01-04 08:05:03","2015-01-04 09:47:01",94
9984,Breda-Tilburg,"Breda - Tilburg",68,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2015-01-04 08:25:01","2015-01-04 08:35:02",9
9985,Ede-Wageningen-Amersfoort,"Amersfoort - Ede-Wageningen",47,,,versperring,"an obstruction on the line",versperring,"an obstruction on the line",unknown,"2015-01-04 08:57:01","2015-01-04 12:32:01",187
9986,"Dordrecht-Dordrecht Stadspolders",,,,,werkzaamheden,"engineering works",werkzaamheden,"engineering works","engineering work","2015-01-04 14:06:01","2015-01-05 00:53:01",647
9987,Eindhoven-Roermond,"Eindhoven - Roermond",67,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2015-01-04 14:49:01","2015-01-04 17:42:02",151
9988,Zwolle-Amersfoort,"Amersfoort - Zwolle",48,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2015-01-04 16:21:02","2015-01-04 22:13:01",331
9989,Dordrecht-Geldermalsen,"Dordrecht - Geldermalsen",55,,,herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2015-01-05 00:53:02","2015-01-05 02:12:01",79
9990,"Arnhem-Duisburg Hbf/Winterswijk/Zutphen","Arnhem Centraal - Frankfurt (M) Hbf, Arnhem Centraal - Winterswijk, Arnhem Centraal - Zutphen","82,129,132",,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2015-01-05 08:54:02","2015-01-05 10:34:01",55
9991,"Schiphol-Almere C./Hilversum/Utrecht C., Sloterdijk-Hoofddorp/Leiden C./Rotterdam C.","Amersfoort - Schiphol Airport, Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Schiphol Airport - Utrecht Centraal, Schiphol Airport - Zaandam","22,32,137,144,148,165",,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2015-01-05 11:28:02","2015-01-05 13:26:01",61
9992,"Utrecht C.-Alphen a/d Rijn/Den Haag C./Gouda/Rotterdam C.","Den Haag Centraal - Utrecht Centraal, Leiden Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal","142,143,147",,,"defect wissel","defective point","defect wissel","defective point",infrastructure,"2015-01-05 12:38:01","2015-01-05 15:34:02",135
9993,Zutphen-Arnhem,"Arnhem Centraal - Zutphen",132,,,koperdiefstal,"copper theft",koperdiefstal,"copper theft",external,"2015-01-05 13:45:01","2015-01-05 18:35:01",242
9994,"Amersfoort-Amsterdam C.",,,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2015-01-05 14:07:01","2015-01-05 15:34:02",57
9995,Breda-Tilburg,"Breda - Tilburg",68,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2015-01-05 14:36:01","2015-01-05 17:30:01",145
9996,"Groningen-Leer (Ostfr.)/Veendam","Groningen - Bad Nieuweschans, Groningen - Leer (Ostfriesland), Groningen - Veendam","154,155,156",,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2015-01-05 16:27:01","2015-01-05 16:45:01",18
9997,Zwolle-Kampen,"Kampen - Zwolle",49,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2015-01-05 19:58:02","2015-01-05 20:45:02",13
9998,Oss-'s-Hertogenbosch,"'s-Hertogenbosch - Nijmegen",57,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2015-01-05 22:02:01","2015-01-06 01:03:02",171
9999,"Utrecht C.-Alphen a/d Rijn/Den Haag C./Gouda/Rotterdam C.","Den Haag Centraal - Utrecht Centraal, Leiden Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal","142,143,147",,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2015-01-06 08:55:02","2015-01-06 10:17:03",74
10000,Breda,"Breda - Dordrecht, Breda - Roosendaal, Breda - Tilburg","20,68,170",,,brandmelding,"fire alarm",brandmelding,"fire alarm",external,"2015-01-06 09:12:01","2015-01-06 10:34:01",24
10001,"Breda-Rotterdam C.","Breda - Rotterdam Centraal (HSL)",15,,,brandmelding,"fire alarm",brandmelding,"fire alarm",external,"2015-01-06 09:20:03","2015-01-06 10:34:01",18
10002,"Den Haag C.-Leiden C.","Den Haag Centraal - Leiden Centraal",169,,,politieonderzoek,"police investigation",politieonderzoek,"police investigation",external,"2015-01-06 13:03:01","2015-01-06 13:45:01",9
10003,"Den Haag HS-Den Haag Centraal/Leiden Centraal",,,,,herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2015-01-06 16:53:01","2015-01-06 17:29:01",36
10004,"Den Haag HS-Leiden C.","Den Haag HS - Leiden Centraal",168,,,herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2015-01-06 17:28:02","2015-01-06 18:05:01",30
10005,"Den Haag C.-Den Haag HS","Den Haag Centraal - Den Haag HS",10,,,herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2015-01-06 17:28:03","2015-01-06 18:05:02",30
10006,Breda-Dordrecht,"Breda - Dordrecht",170,,,"beschadigde bovenleiding","damaged overhead wires","beschadigde bovenleiding","damaged overhead wires",infrastructure,"2015-01-06 18:24:02","2015-01-06 21:31:01",129
10007,"Breda-Rotterdam C.","Breda - Rotterdam Centraal (HSL)",15,,,"beschadigde bovenleiding","damaged overhead wires","beschadigde bovenleiding","damaged overhead wires",infrastructure,"2015-01-06 18:38:02","2015-01-06 21:31:02",114
10008,Breda-Roosendaal,"Breda - Roosendaal",20,,,"gestrande trein","stranded train","gestrande trein","stranded train","rolling stock","2015-01-06 19:27:01","2015-01-06 21:03:01",53
10009,"Rotterdam C.-Breda/Roosendaal","Breda - Dordrecht, Dordrecht - Roosendaal, Dordrecht - Rotterdam Centraal","16,170,171",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2015-01-07 07:48:01","2015-01-07 09:31:01",79
10010,Arnhem-Zutphen,"Arnhem Centraal - Zutphen",132,,,koperdiefstal,"copper theft",koperdiefstal,"copper theft",external,"2015-01-07 09:27:01","2015-01-07 12:00:01",122
10011,Venlo-Eindhoven,"Eindhoven - Venlo",65,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2015-01-07 10:46:02","2015-01-07 11:32:01",7
10012,Zutphen-Arnhem,"Arnhem Centraal - Zutphen",132,,,"defecte spoorbrug","damaged railway bridge","defecte spoorbrug","damaged railway bridge",infrastructure,"2015-01-07 12:02:01","2015-01-07 12:29:01",8
